lead_s,cw_speed_weight,r_cor_speed_gain,p_r_cor,p_r_latch,r_cor_speed_p95,r_cor_speed_max,feasible_speed
300.0,0.0,0.0,0.92,0.92,0.25607885109470874,0.27241921321824214,False
300.0,0.0,0.5,0.94,0.94,0.2515595693037933,0.2881570648187855,False
300.0,0.0,1.0,0.875,0.875,0.2533610496473314,0.2903850621773179,False
300.0,0.0,2.0,0.89,0.89,0.256546104117182,0.2869322444980999,False
300.0,0.1,0.0,0.935,0.93,0.24767037728367491,0.2850387873660304,False
300.0,0.1,0.5,0.905,0.905,0.24274963299217864,0.27321382695857716,False
300.0,0.1,1.0,0.875,0.875,0.25138977610020474,0.2746835726105277,False
300.0,0.1,2.0,0.88,0.88,0.2573093335650628,0.2790371121818279,False
300.0,0.3,0.0,0.915,0.915,0.25330062518816476,0.2792940878316995,False
300.0,0.3,0.5,0.895,0.895,0.25475725751946393,0.26726715787985506,False
300.0,0.3,1.0,0.86,0.86,0.2504448820545116,0.28831964860706805,False
300.0,0.3,2.0,0.875,0.875,0.2529973279418435,0.28388258601202543,False
300.0,0.5,0.0,0.915,0.91,0.2365691490453036,0.28489577522199744,False
300.0,0.5,0.5,0.905,0.905,0.2651595765062406,0.28835505017800817,False
300.0,0.5,1.0,0.935,0.935,0.25241196380926173,0.2888912461186005,False
300.0,0.5,2.0,0.91,0.905,0.2376404435546984,0.26148069399280105,False
600.0,0.0,0.0,0.76,0.74,0.21655218573938537,0.23987741627749296,True
600.0,0.0,0.5,0.72,0.71,0.21600464911614128,0.23479802295759414,True
600.0,0.0,1.0,0.735,0.725,0.22111899575540994,0.2347582896946629,False
600.0,0.0,2.0,0.685,0.67,0.21614681873095493,0.23123964305550218,True
600.0,0.1,0.0,0.705,0.69,0.21574539409844576,0.22806429583008492,True
600.0,0.1,0.5,0.69,0.67,0.20738574835557422,0.23186268467048068,True
600.0,0.1,1.0,0.675,0.665,0.21561992588103557,0.2320794289092557,True
600.0,0.1,2.0,0.7,0.685,0.21014541220344346,0.2331984706742081,True
600.0,0.3,0.0,0.715,0.695,0.22103195804993625,0.22739327343188784,False
600.0,0.3,0.5,0.695,0.685,0.211374036475538,0.2382750973336947,True
600.0,0.3,1.0,0.67,0.63,0.21927644973202048,0.23085741385375913,True
600.0,0.3,2.0,0.69,0.69,0.2184654610214931,0.23061748184360942,True
600.0,0.5,0.0,0.73,0.715,0.21812038422431843,0.22585594040910154,True
600.0,0.5,0.5,0.715,0.705,0.21789519093234533,0.23034566298830572,True
600.0,0.5,1.0,0.715,0.69,0.21634017245907228,0.22941037163561975,True
600.0,0.5,2.0,0.63,0.62,0.2124514682654845,0.2197907893642945,True
900.0,0.0,0.0,0.645,0.62,0.2393165046744279,0.25059683862553206,False
900.0,0.0,0.5,0.68,0.66,0.23631493769394224,0.2597113303242037,False
900.0,0.0,1.0,0.66,0.635,0.23232883633873821,0.25913566677232536,False
900.0,0.0,2.0,0.705,0.69,0.23586812597152365,0.254208139380178,False
900.0,0.1,0.0,0.675,0.63,0.23633151152234452,0.255212208687469,False
900.0,0.1,0.5,0.635,0.625,0.23056144012365112,0.24696449287437405,False
900.0,0.1,1.0,0.76,0.735,0.23888748807551416,0.25618877043210747,False
900.0,0.1,2.0,0.61,0.595,0.238685783197653,0.2546320947634452,False
900.0,0.3,0.0,0.725,0.695,0.23576111225783597,0.24491175849495542,False
900.0,0.3,0.5,0.665,0.65,0.233913758667342,0.2612535077138335,False
900.0,0.3,1.0,0.66,0.645,0.2332028984085426,0.25482606806979985,False
900.0,0.3,2.0,0.62,0.6,0.23977112319085941,0.2614852483395638,False
900.0,0.5,0.0,0.725,0.71,0.23765623343259337,0.2580468570918312,False
900.0,0.5,0.5,0.71,0.66,0.2371905312451501,0.25851183333865574,False
900.0,0.5,1.0,0.635,0.615,0.23505425371389363,0.25474327712549805,False
900.0,0.5,2.0,0.68,0.66,0.24084412677895967,0.25919112458461246,False
