tof_s,cor_entry_lead_s,speed_safety_mode_enabled,pilot_p_r_cor,pilot_p_r_latch,pilot_r_cor_speed_p95_mps,pilot_r_cor_speed_max_mps,pilot_viol_r_cor_count,pilot_dv_tag_p95_mps,pilot_rejected
6500.0,300.0,False,0.6333333333333333,0.6333333333333333,0.1796469254484304,0.2701798035830901,0,1.1472467581001875,False
6800.0,300.0,False,0.7066666666666667,0.7,0.2031246095445968,0.24516113837342368,0,1.3266914331302087,False
7100.0,300.0,False,0.68,0.68,0.23163507319571458,0.2504863061814338,0,1.4222085612037625,False
7400.0,300.0,True,0.74,0.74,0.32088822038262205,0.3678293927915797,1,1.2342402618707786,True
7700.0,300.0,True,0.006666666666666667,0.006666666666666667,0.3660105274176667,0.3660105274176667,1,1.2139880261492253,True
8000.0,300.0,False,0.0,0.0,nan,nan,0,2.155751646565763,True
8300.0,300.0,False,0.0,0.0,nan,nan,0,0.8918828057448969,True
8600.0,300.0,False,0.0,0.0,nan,nan,0,1.1286277704391414,True
8900.0,300.0,True,0.0,0.0,nan,nan,0,2.266214946896443,True
9200.0,300.0,False,0.2866666666666667,0.26666666666666666,0.30885299177393755,0.34938971685962006,0,2.035226226673401,True
9500.0,300.0,False,0.46,0.43333333333333335,0.23785078087864542,0.2519874192860266,0,2.1158876136557776,False
