t_end_s,p_r_cor,p_r_latch,r_cor_speed_p95_mps,r_cor_speed_max_mps,r_cor_hard_cap_viol_count,dv_tag_median_mps,dv_tag_p95_mps,dv_tag_max_mps,dv_node_median_mps,dv_node_p95_mps,dv_node_max_mps
7500.0,0.746,0.746,0.3722862501650102,0.39497026588184364,35,0.35080913884782994,1.1393043872143676,2.521688632385723,0.28731930161721425,0.4472475165472847,0.48903306899729077
7800.0,0.0,0.0,nan,nan,0,0.5660699765134525,1.74570589182898,2.5240244596471086,0.0,0.0,0.0
8100.0,0.0,0.0,nan,nan,0,0.6221815616779639,1.0228401515452545,1.2871598356758338,0.0,0.0,0.0
8400.0,0.0,0.0,nan,nan,0,0.7312748815405073,1.1602735537843876,3.2400628466695025,0.0,0.0,0.0
9000.0,0.578,0.568,0.3940298567284579,0.45713498590110146,48,1.088607476919135,2.1243479186421372,2.6932268699199016,0.1974096001743823,0.42803244770545856,0.5547775744454396
