bin_low,bin_high,count,fail_count,fail_rate,bin_center
0.0029833192919417073,0.007166649439812231,18,0,0.0,0.005074984365876969
0.007166649439812231,0.011349979587682753,71,0,0.0,0.009258314513747493
0.011349979587682753,0.015533309735553275,86,3,0.03488372093023256,0.013441644661618013
0.015533309735553275,0.0197166398834238,110,3,0.02727272727272727,0.017624974809488537
0.0197166398834238,0.023899970031294324,123,4,0.032520325203252036,0.02180830495735906
0.023899970031294324,0.028083300179164845,84,2,0.023809523809523808,0.025991635105229585
0.028083300179164845,0.03226663032703537,110,7,0.06363636363636363,0.03017496525310011
0.03226663032703537,0.03644996047490589,90,1,0.011111111111111112,0.03435829540097063
0.03644996047490589,0.04063329062277641,91,1,0.01098901098901099,0.03854162554884115
0.04063329062277641,0.04481662077064694,93,1,0.010752688172043012,0.04272495569671167
0.04481662077064694,0.04899995091851746,73,2,0.0273972602739726,0.0469082858445822
0.04899995091851746,0.053183281066387984,51,2,0.0392156862745098,0.051091615992452724
