trial,failed,cause,disp_r_R_m,disp_r_T_m,disp_r_N_m,disp_v_R_mps,disp_v_T_mps,disp_v_N_mps,disp_r_norm_m,disp_v_norm_mps,predicted_miss_m,t_closest_s,min_range_m,r_cor_entry_t_s,r_cor_entry_speed_mps,dv_tag_total_mps,dv_node_total_mps,tag_ddm_duty,tag_medt_duty,tag_sat_cmd_frac,terminal_sat_frac,terminal_sat_steps,terminal_steps
65,True,no_R_COR_large_alongtrack_position_dispersion,46.98816487012293,-168.7963772801574,11.034231025895494,-0.016155807811353343,-0.027830868212069405,-0.0032165982103640215,175.5615529525184,0.03234059145287665,0.00013093069759089848,7190.0,10.19910492556386,nan,nan,0.41498956078771887,0.0,0.5403064623584277,1.0,0.07195203197868089,0.0,0,0
69,True,no_R_COR_moderate_coupled_dispersion,41.63719944000809,-144.32366240903693,0.03373250619662116,-0.011028772028498914,0.02930775125903752,0.004703361185853737,150.20977679980302,0.031665433879276166,0.00013093069759089848,7115.0,25.91508522152186,nan,nan,0.7101044174824956,0.0,0.5682878081279147,1.0,0.2631578947368421,0.0,0,0
78,True,no_R_COR_large_alongtrack_velocity_dispersion,49.05707051900403,-126.22570230986736,-6.6293954056001745,-0.004066145975791576,0.03611596210247603,-0.004435324060966223,135.58566655428436,0.036613772834955385,0.00013093069759089848,6855.0,46.476176285951894,nan,nan,0.6074219759379778,0.0,0.49566955363091275,1.0,0.28847435043304465,0.0,0,0
80,True,no_R_COR_large_alongtrack_position_dispersion,46.99801133441254,-193.9838160614448,-7.546140149475935,-0.0038740770305621015,0.023030945487807847,0.004983851028059583,199.73852456225254,0.023880362098824968,0.00013093069759089848,6600.0,53.187690098075336,nan,nan,0.619725242526195,0.0,0.5383077948034644,1.0,0.2978014656895403,0.0,0,0
83,True,no_R_COR_large_alongtrack_position_dispersion,41.59716235725128,-165.37198117003476,-2.8366920469774506,-0.008218522728251982,0.028784907269324075,-0.0030830420526288416,170.5469521687422,0.030093523400171313,0.00013093069759089848,7135.0,20.695703320813507,nan,nan,0.7263953927132337,0.0,0.5682878081279147,1.0,0.24650233177881412,0.0,0,0
98,True,no_R_COR_large_alongtrack_velocity_dispersion,9.137072530548096,-170.66288500097042,9.353148636432028,-0.01800388851196636,-0.04743475186394755,0.009325913942263146,171.1630444947102,0.051586513322806456,0.00013093069759089848,7170.0,10.309218138266116,nan,nan,0.22502225689609712,0.0,0.42704863424383743,1.0,0.08727514990006663,0.0,0,0
112,True,no_R_COR_large_alongtrack_position_dispersion,49.601678345442224,-163.16959892280573,18.64584941837856,-0.009862864579635651,0.029804828947488454,-0.005381305129493064,171.55848043115458,0.031852195704566204,0.00013093069759089848,6800.0,54.94195836500866,nan,nan,0.6034103139256368,0.0,0.4943371085942705,1.0,0.2858094603597602,0.0,0,0
138,True,no_R_COR_large_alongtrack_position_dispersion,17.64655974394981,-181.25360779867034,3.270862593786326,-0.0027845868414552166,-0.030502973016991643,0.00748981643750995,182.13997351745286,0.031532247573246665,0.00013093069759089848,7165.0,10.008102472068892,nan,nan,0.2775940343245533,0.0,0.45236508994004,1.0,0.08794137241838774,0.0,0,0
196,True,no_R_COR_large_alongtrack_position_dispersion,45.88131884947063,-194.5977043881923,-4.371873701622002,0.01675856513306755,-0.026595261028962137,-0.0003703556109258283,199.9811872456607,0.03143715282585947,0.00013093069759089848,7150.0,14.521115796217353,nan,nan,0.5880936139011236,0.0,0.5722851432378414,1.0,0.16722185209860094,0.0,0,0
216,True,no_R_COR_moderate_coupled_dispersion,48.08924672156478,-135.31895616794952,16.652221013648763,0.01251631608578355,0.028220281579607973,0.0038235438400814805,144.57209970571216,0.031107265201052794,0.00013093069759089848,6755.0,57.704075437428685,nan,nan,0.6053765800247332,0.0,0.5389740173217855,1.0,0.2971352431712192,0.0,0,0
221,True,no_R_COR_large_alongtrack_velocity_dispersion,45.89387026793098,-108.21124078282725,-0.3820304895456772,0.010043705772765164,0.043432249570592135,-0.005691571127105772,117.54176239628039,0.04494029717644267,0.00013093069759089848,7125.0,24.41806606455621,nan,nan,0.7234135127649438,0.0,0.5323117921385743,1.0,0.26115922718187873,0.0,0,0
270,True,no_R_COR_large_alongtrack_position_dispersion,47.661609240397354,-165.90544015096685,-2.572490784856079,-0.008800499875470873,0.01435185055382067,0.006736249005805163,172.6350537286925,0.018132883473004964,0.00013093069759089848,6670.0,53.94350529477321,nan,nan,0.612676980801847,0.0,0.5383077948034644,1.0,0.2978014656895403,0.0,0,0
314,True,no_R_COR_moderate_coupled_dispersion,16.986560765563,-128.13532867639952,-9.544521714856376,0.0018965865550579428,-0.02629505991084763,-0.006791611699040934,129.6082697840553,0.02722412910905402,0.00013093069759089848,7170.0,10.08352190158991,nan,nan,0.2002972304904494,0.0,0.480346435709527,1.0,0.08394403730846102,0.0,0,0
328,True,no_R_COR_moderate_coupled_dispersion,44.21850856918519,-144.42389198906005,18.537540858903597,-0.0006228479683722185,0.011901849883729922,-0.005098397426728709,152.1748254424703,0.012962855648637814,0.00013093069759089848,7170.0,14.319735981047565,nan,nan,0.6304558417356255,0.0,0.5762824783477681,1.0,0.13724183877415055,0.0,0,0
368,True,no_R_COR_moderate_coupled_dispersion,46.69931531836551,-133.79043110516318,15.812372759140558,0.0013424222859903835,0.013624597202391495,-0.0025630278899711704,142.5858921449929,0.013928419095005286,0.00013093069759089848,7050.0,35.437379350745495,nan,nan,0.5642897943351378,0.0,0.5303131245836109,1.0,0.22984676882078614,0.0,0,0
376,True,no_R_COR_large_alongtrack_velocity_dispersion,44.85668589856614,-105.39502837949203,-14.467572681411337,0.007039914633734701,0.04444194469881553,-0.000504923672588288,115.45364843177747,0.04499890881541451,0.00013093069759089848,7090.0,29.91252076622697,nan,nan,0.6841556774677576,0.0,0.5602931379080613,1.0,0.27048634243837444,0.0,0,0
450,True,no_R_COR_large_alongtrack_position_dispersion,13.163491979974573,-173.67355815493931,-19.86671552109805,0.0012829626522976138,-0.009427459081189214,0.0072001580207367456,175.3010801703748,0.011931691138236323,0.00013093069759089848,7160.0,11.045593222166952,nan,nan,0.29136277777655295,0.0,0.4890073284477015,1.0,0.10326449033977349,0.0,0,0
498,True,no_R_COR_large_alongtrack_position_dispersion,46.23433077159048,-183.58024727680484,-4.886405815879762,-0.013724408526347577,0.019393803273761195,0.005642785981594086,189.37581021320307,0.024419664789949662,0.00013093069759089848,6690.0,52.24211825711958,nan,nan,0.5949082138993307,0.0,0.5316455696202531,1.0,0.28847435043304465,0.0,0,0
534,True,no_R_COR_large_alongtrack_position_dispersion,47.531508728195945,-198.67274002423363,-9.485199774679218,0.0177612671079156,-0.0023689347930461943,-0.007090930235989694,204.49956226232092,0.019270592957771233,0.00013093069759089848,6720.0,43.923177240264664,nan,nan,0.5276150815494904,0.0,0.5269820119920053,1.0,0.24516988674217188,0.0,0,0
543,True,no_R_COR_large_alongtrack_velocity_dispersion,49.26597514412764,-12.603596843046688,16.481441941254793,-0.009609307502289072,0.049456184501055545,0.0001609553237120094,53.456757185100656,0.05038133466565001,0.00013093069759089848,7175.0,12.684255718217605,nan,nan,0.7126442521029515,0.0,0.564290473017988,1.0,0.17055296469020653,0.0,0,0
568,True,no_R_COR_large_alongtrack_position_dispersion,6.667546559048219,-189.55772474994242,3.331959236988947,0.008671556249717261,-0.016412766208057837,-0.00764355417437538,189.70421487634104,0.020074827591015247,0.00013093069759089848,7160.0,10.477744206638373,nan,nan,0.18580368975087416,0.0,0.4230512991339107,1.0,0.09926715522984676,0.0,0,0
709,True,no_R_COR_moderate_coupled_dispersion,45.760494901465876,-122.57211670600809,12.273228458713149,0.004561345075551278,0.022821138851756614,0.0016311443480663372,131.40996470670754,0.023329613783207814,0.00013093069759089848,7000.0,41.30580606498822,nan,nan,0.5692733701133006,0.0,0.5376415722851432,1.0,0.2385076615589607,0.0,0,0
815,True,no_R_COR_moderate_coupled_dispersion,47.54102155587718,-118.83942837486443,18.786879896927033,-0.007886543249476024,0.01982793293809268,0.009692891042116852,129.3673271089052,0.023437078012792156,0.00013093069759089848,6830.0,57.301900494660465,nan,nan,0.6175087714650831,0.0,0.5036642238507661,1.0,0.29247168554297137,0.0,0,0
923,True,no_R_COR_moderate_coupled_dispersion,49.764514656273434,-125.93071209595949,7.295959522720832,-0.005591884074558195,0.015866959717323326,0.006074165652146938,135.6034003752379,0.017886449243608424,0.00013093069759089848,6720.0,56.67157567687176,nan,nan,0.6248988718211013,0.0,0.5456362425049966,1.0,0.2984676882078614,0.0,0,0
926,True,no_R_COR_large_alongtrack_velocity_dispersion,45.103244463823216,-135.44202724432228,-0.9393472629853008,-0.010516975176847083,0.0413428965064877,-0.009739601331845135,142.75758396139804,0.04375730444759881,0.00013093069759089848,7155.0,15.215569592236035,nan,nan,0.7349062507946847,0.0,0.5483011325782812,1.0,0.2211858760826116,0.0,0,0
928,True,no_R_COR_moderate_coupled_dispersion,47.12068205377868,-109.7902360528288,15.329645755386295,-0.003960188199152753,0.028571991148417394,-0.00375514349635865,120.45435919357507,0.029088535051394308,0.00013093069759089848,7070.0,35.52859000095747,nan,nan,0.5711363903013797,0.0,0.49300466355762823,1.0,0.27514990006662227,0.0,0,0
