tof_s,policy_name,cor_entry_lead_s,speed_safety_mode_enabled,pilot_p_r_cor,pilot_p_r_latch,pilot_compliant_latch_lcb95,pilot_r_cor_speed_p95_mps,pilot_r_cor_speed_max_mps,pilot_viol_r_cor_count,pilot_dv_tag_p95_mps,pilot_rejected
6500.0,off,300.0,False,0.4166666666666667,0.4166666666666667,0.19325746190524654,0.16304878832864994,0.16530009472116633,0,1.1290270640810602,False
6500.0,safe_k3,300.0,True,0.4166666666666667,0.4166666666666667,0.19325746190524654,0.16009697237508383,0.16530009472116633,0,1.1276544316592236,False
6500.0,safe_k5,300.0,True,0.4166666666666667,0.4166666666666667,0.19325746190524654,0.15990146081040646,0.16475764361039877,0,1.127936294077838,False
8000.0,off,300.0,False,0.0,0.0,0.0,nan,nan,0,1.716104618284816,True
8000.0,safe_k3,300.0,True,0.0,0.0,0.0,nan,nan,0,1.716104618284816,True
8000.0,safe_k5,300.0,True,0.0,0.0,0.0,nan,nan,0,1.716104618284816,True
9500.0,off,300.0,False,0.4166666666666667,0.4166666666666667,0.19325746190524654,0.19415040614220822,0.20849143801262016,0,1.5615786435059125,False
9500.0,safe_k3,300.0,True,0.5,0.5,0.2537781703934222,0.19220342139218932,0.19956938358451262,0,1.5804784746052403,False
9500.0,safe_k5,300.0,True,0.5833333333333334,0.5,0.2537781703934222,0.19439972424221882,0.1976010227832979,0,1.5907183593576164,False
