candidate_name,branch,tof_s,lead_s,policy_name,terminal_profile,runs,dt_s,p_r_cor,p_r_pre,p_r_latch,r_cor_speed_p95_mps,r_cor_speed_max_mps,viol_r_cor_count,dv_tag_p95_mps,dv_tag_max_mps,dv_node_p95_mps,dv_node_max_mps,term_sat_frac_p95,compliant,stage
planner_ref,planner,7100.0,300.0,safe_k3,base,120,5.0,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.21215317842466083,0.24802867089966912,0,1.346754461215559,1.6998300581513994,0.27408915590161065,0.31384330106768615,0.0,True,pilot
planner_lead_280,planner,7100.0,280.0,safe_k3,base,120,5.0,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.22756383603511357,0.2572432151511829,0,1.2372945809176077,1.5877149141595195,0.28542701921949243,0.394563261057262,0.0,True,pilot
planner_lead_320,planner,7100.0,320.0,safe_k3,base,120,5.0,0.625,0.625,0.625,0.21108588441715792,0.24399889641927458,0,1.4592219948126668,1.717769291137921,0.2839854848908912,0.3036978785104273,0.0,True,pilot
planner_tof_7000,planner,7000.0,300.0,safe_k3,base,120,5.0,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.21698100200522272,0.25346340784906707,0,1.3973312498483486,1.523654901320077,0.2808521758114922,0.3931034421324734,0.0,True,pilot
planner_tof_7200,planner,7200.0,300.0,safe_k3,base,120,5.0,0.475,0.475,0.475,0.2661463108162166,0.3274032168388611,0,1.258816139816166,2.3491674961137057,0.34738620327585035,0.47926371737038354,0.0,True,pilot
planner_soft,planner,7100.0,300.0,safe_k3_soft,base,120,5.0,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.21213643648938904,0.24768334489056335,0,1.3467879396289046,1.6998300581513994,0.2733119987639707,0.3138365035727397,0.0,True,pilot
planner_wide,planner,7100.0,300.0,safe_k3_wide,base,120,5.0,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.21212195348546342,0.247669196354465,0,1.3467894501613333,1.6998300581513994,0.27332309743079086,0.31262263304799576,0.0,True,pilot
planner_tof7000_lead280,planner,7000.0,280.0,safe_k3,base,120,5.0,0.44166666666666665,0.44166666666666665,0.44166666666666665,0.2109278122899724,0.2665242786481531,0,1.3893345170888394,1.5441621571042368,0.27091447917914036,0.4509177022543107,0.0,True,pilot
terminal_ref,terminal,7100.0,300.0,safe_k3,base,120,5.0,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.21215317842466083,0.24802867089966912,0,1.346754461215559,1.6998300581513994,0.27408915590161065,0.31384330106768615,0.0,True,pilot
terminal_settle_soft,terminal,7100.0,300.0,safe_k3,settle_soft,120,5.0,0.6416666666666667,0.016666666666666666,0.0,0.21215317842466083,0.24802867089966912,0,1.4560776405164826,1.6998300581513994,44.61320021714528,59.71110936561877,0.0,True,pilot
terminal_settle_strong,terminal,7100.0,300.0,safe_k3,settle_strong,120,5.0,0.6416666666666667,0.016666666666666666,0.0,0.21215317842466083,0.24802867089966912,0,1.4560776405164826,1.6998300581513994,17.789099892394237,63.46228592666475,0.0,True,pilot
planner_lead_280,planner,7100.0,280.0,safe_k3,base,500,5.0,0.728,0.728,0.728,0.2363787124891073,0.2639572668228139,0,1.3494868844289911,2.150903175893972,0.2931515087581193,0.42390117677033656,0.0,True,full
planner_ref,planner,7100.0,300.0,safe_k3,base,500,5.0,0.692,0.69,0.69,0.22865414108550536,0.25513427420107376,0,1.454861501018162,2.1433415558926296,0.28274217232417437,0.36757203529570914,0.0,True,full
terminal_ref,terminal,7100.0,300.0,safe_k3,base,500,5.0,0.692,0.69,0.69,0.22865414108550536,0.25513427420107376,0,1.454861501018162,2.1433415558926296,0.28274217232417437,0.36757203529570914,0.0,True,full
terminal_settle_soft,terminal,7100.0,300.0,safe_k3,settle_soft,500,5.0,0.692,0.022,0.002,0.22865414108550536,0.25513427420107376,0,1.490501517393291,2.1433415558926296,29.064927003696692,60.70567410309151,0.0,True,full
